CrmId,Account,Subscription,SubscriptionStartDate,SubscriptionEndDate,ExtendedSubscriptionEndDate,SKU,Product,RatePlan,LocationID,MarketCode,CategoryCode
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238442,7/1/2019,1/1/2020,6/29/2020,SKU-00000092,Storefront,Storefront | CA-San Fran/Bay Area | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,12,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238442,7/1/2019,1/1/2020,6/29/2020,SKU-00000092,Storefront,Storefront | DC-DC/MD/Northern VA | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,17,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238441,7/1/2019,1/1/2020,6/29/2020,SKU-00000092,Storefront,Storefront | GA-Georgia | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,19,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238442,7/1/2019,1/1/2020,6/29/2020,SKU-00000092,Storefront,Storefront | CO-Colorado | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,20,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238443,7/1/2019,1/1/2020,6/29/2020,SKU-00000092,Storefront,Storefront | PA-Philadelphia | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,21,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238442,7/1/2019,1/1/2020,6/29/2020,SKU-00000092,Storefront,Storefront | CA-Central CA | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,27,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238441,7/1/2019,1/1/2020,6/29/2020,SKU-00000092,Storefront,Storefront | MD-Baltimore | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,30,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238442,7/1/2019,1/1/2020,6/29/2020,SKU-00000092,Storefront,Storefront | FL-West Coast | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,33,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238443,7/1/2019,1/1/2020,6/29/2020,SKU-00000092,Storefront,Storefront | OH-Cincinnati | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,35,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238441,7/1/2019,1/1/2020,6/29/2020,SKU-00000092,Storefront,Storefront | KY-Kentucky | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,40,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238443,7/1/2019,1/1/2020,6/29/2020,SKU-00000092,Storefront,Storefront | MO-St. Louis | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,41,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238442,7/1/2019,1/1/2020,6/29/2020,SKU-00000092,Storefront,Storefront | CA-Orange County | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,42,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238441,7/1/2019,1/1/2020,6/29/2020,SKU-00000092,Storefront,Storefront | MI-Detroit | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,44,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238441,7/1/2019,1/1/2020,6/29/2020,SKU-00000092,Storefront,Storefront | IL-Chicago | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,45,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238442,7/1/2019,1/1/2020,6/29/2020,SKU-00000092,Storefront,Storefront | CA-San Diego | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,50,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238442,7/1/2019,1/1/2020,6/29/2020,SKU-00000092,Storefront,Storefront | FL-Central | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,53,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238443,7/1/2019,1/1/2020,6/29/2020,SKU-00000092,Storefront,Storefront | OH-Columbus | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,54,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238441,7/1/2019,1/1/2020,6/29/2020,SKU-00000092,Storefront,Storefront | MA-Boston | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,61,BWP
