Subscription,SubscriptionEndDate,SKU,Product,RatePlan,ChargeNumber,LocationID,MarketCode,CategoryCode
A-S00208600,2020-12-20,SKU-00000092,Storefront,Storefront | NJ-South | Wedding Cakes,C-01531102,E9449A07-9827-4899-A6FC-39AE807E9301,209,WCK
A-S00208601,2020-12-20,SKU-00000034,Featured Vendor,Featured Vendor | VT-Vermont | Caterers,C-01531109,A8AA40DB-85E6-46BC-AA6B-60C0CC015A6C,234,CAT
A-S00208601,2020-12-20,SKU-00000092,Storefront,Storefront | VT-Vermont | Caterers,C-01531108,A8AA40DB-85E6-46BC-AA6B-60C0CC015A6C,234,CAT
A-S00208601,2020-12-20,SKU-00000034,Featured Vendor,Featured Vendor | VT-Vermont | Wedding Planners,C-01531107,F414D6ED-9EDD-E111-8CC6-78E3B5102E43,234,PLN
A-S00208601,2020-12-20,SKU-00000092,Storefront,Storefront | VT-Vermont | Wedding Planners,C-01531106,F414D6ED-9EDD-E111-8CC6-78E3B5102E43,234,PLN
A-S00208602,2020-12-20,SKU-00000034,Featured Vendor,Featured Vendor | OK-Oklahoma | Bar Services,C-01531111,20E4315E-A126-48EC-9876-5BC6334F6179,193,BAR
A-S00208602,2020-12-20,SKU-00000092,Storefront,Storefront | OK-Oklahoma | Bar Services,C-01531110,20E4315E-A126-48EC-9876-5BC6334F6179,193,BAR
A-S00208608,2020-12-20,SKU-00000034,Featured Vendor,Featured Vendor | CA-Sacramento/Tahoe/Reno | Wedding Photographers,C-01531120,27264188-67B3-4CB1-AA67-D1D850490BA6,271,WPH
A-S00208608,2020-12-20,SKU-00000092,Storefront,Storefront | CA-Sacramento/Tahoe/Reno | Wedding Photographers,C-01531119,27264188-67B3-4CB1-AA67-D1D850490BA6,271,WPH
A-S00208615,2020-12-19,SKU-00000025,Bridal Salon Referral Program-Gown - Storefront,Bridal Salon Referral Program-Gown - Storefront | LA-New Orleans | Bridal Salons,C-01531138,C8A3EDA3-A57B-4DD5-A578-7A3AEBA79576,029,BWP
A-S00208615,2020-12-19,SKU-00000088,Premium Featured Vendor,Premium Featured Vendor | LA-New Orleans | Bridal Salons,C-01531139,C8A3EDA3-A57B-4DD5-A578-7A3AEBA79576,029,BWP
A-S00208621,2020-12-19,SKU-00000034,Featured Vendor,Featured Vendor | MS-Mississippi | Reception Venues,C-01531160,A49E7115-0D25-41D5-8051-D4A930C156AF,215,REC
A-S00208621,2020-12-19,SKU-00000092,Storefront,Storefront | MS-Mississippi | Reception Venues,C-01531159,A49E7115-0D25-41D5-8051-D4A930C156AF,215,REC
A-S00208621,2020-12-19,SKU-00000092,Storefront,Storefront | MS-Mississippi | Shower+Party Venues,C-01531161,A49E7115-0D25-41D5-8051-D4A930C156AF,215,SPV
A-S00208628,2020-12-20,SKU-00000092,Storefront,Storefront | IL-Chicago | Caterers,C-01531186,30FF04D5-F6DB-E111-8BEC-78E3B50834E7,045,CAT
A-S00208628,2020-12-20,SKU-00000092,Storefront,Storefront | IL-Chicago Suburbs | Caterers,C-01531187,30FF04D5-F6DB-E111-8BEC-78E3B50834E7,179,CAT
A-S00208644,2020-12-20,SKU-00000088,Premium Featured Vendor,Premium Featured Vendor | SC-South Carolina | Officiants+Premarital Counseling,C-01531225,3BE3D7C8-1DE0-E211-AD19-0050568849EA,188,OPC
