Subscription,SubscriptionEndDate,SKU,Product,RatePlan,ChargeNumber,LocationID,MarketCode,CategoryCode
A-S00201613,2020-12-13,SKU-00000034,Featured Vendor,Featured Vendor | NJ-South | Reception Venues,C-01513296,1B0BCDD9-BDDC-E111-8CC6-78E3B5102E43,209,REC
A-S00201613,2020-12-13,SKU-00000092,Storefront,Storefront | NJ-South | Reception Venues,C-01513295,1B0BCDD9-BDDC-E111-8CC6-78E3B5102E43,209,REC
A-S00201616,2020-12-14,SKU-00000092,Storefront,Storefront | NH-New Hampshire | Reception Venues,C-01513300,349A7F58-BDDC-E111-8CC6-78E3B5102E43,202,REC
A-S00201618,2020-12-19,SKU-00000034,Featured Vendor,Featured Vendor | MA-Boston | Videographers,C-01513304,85321C06-F97B-4396-AD55-BB54A999C7F2,061,VID
A-S00201618,2020-12-19,SKU-00000092,Storefront,Storefront | MA-Boston | Videographers,C-01513305,85321C06-F97B-4396-AD55-BB54A999C7F2,061,VID
A-S00201618,2020-12-19,SKU-00000034,Featured Vendor,Featured Vendor | MA-Boston | Photo Booths,C-01569421,8C883D46-1E26-42EF-A61D-383EC85449B9,061,PHB
A-S00201618,2020-12-19,SKU-00000092,Storefront,Storefront | MA-Boston | Photo Booths,C-01569420,8C883D46-1E26-42EF-A61D-383EC85449B9,061,PHB
A-S00201618,2020-12-19,SKU-00000034,Featured Vendor,Featured Vendor | RI-Rhode Island | Photo Booths,C-01513306,C6282B95-4099-E511-995E-0050568849EA,185,PHB
A-S00201618,2020-12-19,SKU-00000034,Featured Vendor,Featured Vendor | RI-Rhode Island | Wedding Photographers,C-01513313,C6282B95-4099-E511-995E-0050568849EA,185,WPH
A-S00201618,2020-12-19,SKU-00000092,Storefront,Storefront | RI-Rhode Island | Photo Booths,C-01513307,C6282B95-4099-E511-995E-0050568849EA,185,PHB
A-S00201618,2020-12-19,SKU-00000092,Storefront,Storefront | RI-Rhode Island | Wedding Photographers,C-01513312,C6282B95-4099-E511-995E-0050568849EA,185,WPH
A-S00201618,2020-12-19,SKU-00000034,Featured Vendor,Featured Vendor | MA-Cape Cod | Videographers,C-01552395,CB5BEBA8-B138-4CBF-8245-EEF2F832AE03,184,VID
A-S00201618,2020-12-19,SKU-00000092,Storefront,Storefront | MA-Cape Cod | Videographers,C-01552394,CB5BEBA8-B138-4CBF-8245-EEF2F832AE03,184,VID
A-S00201618,2020-12-19,SKU-00000034,Featured Vendor,Featured Vendor | RI-Rhode Island | Videographers,C-01513311,E709E0E5-4B2E-4323-A861-2C7897C6A7DC,185,VID
A-S00201618,2020-12-19,SKU-00000092,Storefront,Storefront | RI-Rhode Island | Videographers,C-01513310,E709E0E5-4B2E-4323-A861-2C7897C6A7DC,185,VID
A-S00201621,2020-12-20,SKU-00000092,Storefront,Storefront | NH-New Hampshire | Wedding Cakes,C-01513319,79E61F28-2E3C-4EA7-871B-962160D7B9F7,202,WCK
A-S00201623,2020-12-16,SKU-00000034,Featured Vendor,Featured Vendor | NJ-South | Wedding Photographers,C-01513325,2C10B2EF-BBDC-E111-8CC6-78E3B5102E43,209,WPH
A-S00201623,2020-12-16,SKU-00000092,Storefront,Storefront | NJ-South | Wedding Photographers,C-01513324,2C10B2EF-BBDC-E111-8CC6-78E3B5102E43,209,WPH
A-S00201627,2020-12-15,SKU-00000086,Preferred Position,Preferred Position | OH-Cleveland/NE Ohio | Reception Venues,C-01513332,EA586E27-4EDC-E111-8BEC-78E3B50834E7,052,REC
A-S00201627,2020-12-15,SKU-00000092,Storefront,Storefront | OH-Cleveland/NE Ohio | Reception Venues,C-01513333,EA586E27-4EDC-E111-8BEC-78E3B50834E7,052,REC
A-S00201630,2020-12-14,SKU-00000092,Storefront,Storefront | ME-Maine | Wedding Cakes,C-01513337,5EE80810-CAE7-40F9-B739-5C57A3C6499D,212,WCK
A-S00201638,2020-12-19,SKU-00000092,Storefront,Storefront | HI-Hawaii | Beauty,C-01513347,45D8F109-4A88-E511-9E20-0050568849EA,195,BEA
A-S00201639,2020-12-17,SKU-00000092,Storefront,Storefront | IL-Chicago Suburbs | DJs,C-01513348,E93C59F7-187B-E411-9075-005056881833,179,DJS
A-S00201642,2020-12-16,SKU-00000092,Storefront,Storefront | NJ-North/Central | Invitations+Paper Goods,C-01513351,E5FFBB78-5251-E311-836D-005056881833,073,INV
A-S00201644,2020-12-17,SKU-00000034,Featured Vendor,Featured Vendor | PA-Philadelphia | Wedding Photographers,C-01513356,8BA46A0E-147B-E411-9075-005056881833,021,WPH
A-S00201644,2020-12-17,SKU-00000092,Storefront,Storefront | PA-Philadelphia | Wedding Photographers,C-01513357,8BA46A0E-147B-E411-9075-005056881833,021,WPH
A-S00201645,2020-12-16,SKU-00000034,Featured Vendor,Featured Vendor | NJ-North/Central | Wedding Planners,C-01513359,52FCF0B4-11EB-4063-9E19-AC1BF99D92A2,073,PLN
A-S00201645,2020-12-16,SKU-00000092,Storefront,Storefront | NJ-North/Central | Wedding Planners,C-01513358,52FCF0B4-11EB-4063-9E19-AC1BF99D92A2,073,PLN
A-S00201646,2020-12-19,SKU-00000034,Featured Vendor,Featured Vendor | CA-San Diego | Wedding Planners,C-01513361,809D594A-7C32-403A-8FD8-1B7863F1BAA2,050,PLN
A-S00201646,2020-12-19,SKU-00000092,Storefront,Storefront | CA-San Diego | Wedding Planners,C-01513360,809D594A-7C32-403A-8FD8-1B7863F1BAA2,050,PLN
A-S00201651,2020-12-15,SKU-00000092,Storefront,Storefront | NJ-North/Central | Caterers,C-01513370,FE7759F2-34DB-E111-8BEC-78E3B50834E7,073,CAT
A-S00201653,2020-12-17,SKU-00000073,Jewelry Store Referral Program-Jewelry Search - Storefront,Jewelry Store Referral Program-Jewelry Search - Storefront | AR-Arkansas | Fine Jewelry,C-01513372,99A7ABCB-5C5C-E311-9CA4-0050568849EA,257,JWL
A-S00201655,2020-12-17,SKU-00000092,Storefront,Storefront | NY-Wstrn/Cent/Upstate | Rentals,C-01513374,05D09717-5F3D-E211-810D-0050568849EA,189,RNT
A-S00201658,2020-12-13,SKU-00000034,Featured Vendor,Featured Vendor | OH-Cincinnati | Reception Venues,C-01513379,333B5A1F-5B58-450E-B16D-2ED42F4EB1D9,035,REC
A-S00201658,2020-12-13,SKU-00000092,Storefront,Storefront | OH-Cincinnati | Reception Venues,C-01513378,333B5A1F-5B58-450E-B16D-2ED42F4EB1D9,035,REC
A-S00201660,2020-12-13,SKU-00000034,Featured Vendor,Featured Vendor | OH-Cincinnati | Florists,C-01513383,8C471B9C-7D86-4704-BBD6-A2CD50AAF96E,035,FLO
A-S00201660,2020-12-13,SKU-00000092,Storefront,Storefront | OH-Cincinnati | Florists,C-01513382,8C471B9C-7D86-4704-BBD6-A2CD50AAF96E,035,FLO
A-S00201668,2020-12-16,SKU-00000092,Storefront,Storefront | MN-Minnesota | Photo Booths,C-01513396,03F9A775-D3F8-4A9A-A6D7-AB38D4EF5345,004,PHB
A-S00201671,2020-12-20,SKU-00000034,Featured Vendor,Featured Vendor | KY-Kentucky | Wedding Photographers,C-01513403,1BB2C2F1-5CD7-41AE-9E0A-52327EB3143A,040,WPH
A-S00201671,2020-12-20,SKU-00000092,Storefront,Storefront | KY-Kentucky | Wedding Photographers,C-01513402,1BB2C2F1-5CD7-41AE-9E0A-52327EB3143A,040,WPH
A-S00201672,2020-12-20,SKU-00000034,Featured Vendor,Featured Vendor | OH-Cincinnati | Wedding Photographers,C-01513405,4C1EFD9E-4E56-466C-92C9-307AF7ED16A9,035,WPH
A-S00201672,2020-12-20,SKU-00000092,Storefront,Storefront | OH-Cincinnati | Wedding Photographers,C-01513404,4C1EFD9E-4E56-466C-92C9-307AF7ED16A9,035,WPH
A-S00201673,2020-12-20,SKU-00000088,Premium Featured Vendor,Premium Featured Vendor | KY-Kentucky | Videographers,C-01513407,F7818304-9D63-4889-B4C1-108FA4333BF3,040,VID
A-S00201673,2020-12-20,SKU-00000092,Storefront,Storefront | KY-Kentucky | Videographers,C-01513406,F7818304-9D63-4889-B4C1-108FA4333BF3,040,VID
A-S00201674,2020-12-20,SKU-00000034,Featured Vendor,Featured Vendor | KY-Kentucky | Reception Venues,C-01513409,5809967D-44C8-E511-95D2-0050568835C0,040,REC
A-S00201674,2020-12-20,SKU-00000092,Storefront,Storefront | KY-Kentucky | Reception Venues,C-01513408,5809967D-44C8-E511-95D2-0050568835C0,040,REC
A-S00201676,2020-12-13,SKU-00000092,Storefront,Storefront | OH-Cleveland/NE Ohio | Videographers,C-01513412,F687A51C-BEDC-E111-8CC6-78E3B5102E43,052,VID
A-S00201684,2020-12-18,SKU-00000034,Featured Vendor,Featured Vendor | OH-Cleveland/NE Ohio | Wedding Planners,C-01513430,3B619CEC-7C1C-4231-AA2D-5D96807C0F87,052,PLN
A-S00201684,2020-12-18,SKU-00000092,Storefront,Storefront | OH-Cleveland/NE Ohio | Wedding Planners,C-01513429,3B619CEC-7C1C-4231-AA2D-5D96807C0F87,052,PLN
A-S00201686,2020-12-16,SKU-00000092,Storefront,Storefront | OH-Columbus | DJs,C-01513433,20C3C055-B8DA-E111-8BEC-78E3B50834E7,054,DJS
A-S00201687,2020-12-20,SKU-00000086,Preferred Position,Preferred Position | OH-Cleveland/NE Ohio | Reception Venues,C-01513435,8990FA0F-78DB-E111-8BEC-78E3B50834E7,052,REC
A-S00201687,2020-12-20,SKU-00000092,Storefront,Storefront | OH-Cleveland/NE Ohio | Reception Venues,C-01513434,8990FA0F-78DB-E111-8BEC-78E3B50834E7,052,REC
A-S00201687,2020-12-20,SKU-00000092,Storefront,Storefront | OH-Cleveland/NE Ohio | Shower+Party Venues,C-01513436,8990FA0F-78DB-E111-8BEC-78E3B50834E7,052,SPV
A-S00201689,2020-12-12,SKU-00000034,Featured Vendor,Featured Vendor | OH-Cincinnati | Caterers,C-01513440,650A6001-46C9-43B7-9D21-075492D68076,035,CAT
A-S00201689,2020-12-12,SKU-00000092,Storefront,Storefront | OH-Cincinnati | Caterers,C-01513439,650A6001-46C9-43B7-9D21-075492D68076,035,CAT
A-S00201690,2020-12-11,SKU-00000086,Preferred Position,Preferred Position | IN-Indiana | Reception Venues,C-01513442,41C907C8-9A57-E311-9CA4-0050568849EA,198,REC
A-S00201690,2020-12-11,SKU-00000086,Preferred Position,Preferred Position | KY-Kentucky | Reception Venues,C-01513444,41C907C8-9A57-E311-9CA4-0050568849EA,040,REC
A-S00201690,2020-12-11,SKU-00000092,Storefront,Storefront | IN-Indiana | Reception Venues,C-01513441,41C907C8-9A57-E311-9CA4-0050568849EA,198,REC
A-S00201690,2020-12-11,SKU-00000092,Storefront,Storefront | KY-Kentucky | Reception Venues,C-01513443,41C907C8-9A57-E311-9CA4-0050568849EA,040,REC
A-S00201692,2020-12-13,SKU-00000092,Storefront,Storefront | NC-North Carolina | Florists,C-01513446,976E82E0-954B-420E-9501-BBCC0DDE16A6,107,FLO
A-S00201694,2020-12-15,SKU-00000092,Storefront,Storefront | NC-North Carolina | Wedding Planners,C-01513448,F16BC13A-319F-4260-B68C-DB235821E55E,107,PLN
A-S00201695,2020-12-15,SKU-00000092,Storefront,Storefront | NC-North Carolina | Videographers,C-01513449,02412B2E-2B5F-4763-832A-F095EDAC2A2F,107,VID
A-S00201696,2020-12-18,SKU-00000086,Preferred Position,Preferred Position | NC-North Carolina | Reception Venues,C-01513451,5935DF1A-265D-E311-836D-005056881833,107,REC
A-S00201696,2020-12-18,SKU-00000092,Storefront,Storefront | NC-North Carolina | Reception Venues,C-01513450,5935DF1A-265D-E311-836D-005056881833,107,REC
A-S00201698,2020-12-20,SKU-00000034,Featured Vendor,Featured Vendor | NC-North Carolina | Wedding Planners,C-01513455,024DC1B0-2F07-4733-BE93-9CFC3A5337FB,107,PLN
A-S00201698,2020-12-20,SKU-00000092,Storefront,Storefront | NC-North Carolina | Wedding Planners,C-01513454,024DC1B0-2F07-4733-BE93-9CFC3A5337FB,107,PLN
A-S00201700,2020-12-19,SKU-00000092,Storefront,Storefront | NC-North Carolina | Wedding Photographers,C-01513458,0E63AFD4-1791-448D-BA82-8CB7BABC04A9,107,WPH
A-S00201701,2020-12-14,SKU-00000092,Storefront,Storefront | MA-Boston | Reception Venues,C-01513459,99052AFE-E4DA-E111-8BEC-78E3B50834E7,061,REC
A-S00201703,2020-12-16,SKU-00000092,Storefront,Storefront | NY-Long Island | DJs,C-01513461,279E1379-D7DA-E111-8BEC-78E3B50834E7,182,DJS
A-S00201703,2020-12-16,SKU-00000092,Storefront,Storefront | NY-Long Island | Photo Booths,C-01513462,279E1379-D7DA-E111-8BEC-78E3B50834E7,182,PHB
A-S00201704,2020-12-12,SKU-00000092,Storefront,Storefront | NC-North Carolina | Wedding Planners,C-01513463,8EB51FBC-463D-40CE-933E-9C70083DD407,107,PLN
A-S00201705,2020-12-11,SKU-00000092,Storefront,Storefront | NC-North Carolina | Wedding Planners,C-01513464,D4F5AC69-D7FD-48A3-BB1B-ABEE6AE2593B,107,PLN
A-S00201706,2020-12-20,SKU-00000034,Featured Vendor,Featured Vendor | NC-North Carolina | Wedding Photographers,C-01513465,0F718B78-F749-E211-810D-0050568849EA,107,WPH
A-S00201706,2020-12-20,SKU-00000092,Storefront,Storefront | NC-North Carolina | Wedding Photographers,C-01513466,0F718B78-F749-E211-810D-0050568849EA,107,WPH
A-S00201707,2020-12-13,SKU-00000034,Featured Vendor,Featured Vendor | MA-Boston | Wedding Photographers,C-01513467,C88DC4D2-CAD9-43F1-B544-329801DCF5A7,061,WPH
A-S00201707,2020-12-13,SKU-00000092,Storefront,Storefront | MA-Boston | Wedding Photographers,C-01513468,C88DC4D2-CAD9-43F1-B544-329801DCF5A7,061,WPH
A-S00201708,2020-12-12,SKU-00000092,Storefront,Storefront | NC-North Carolina | Florists,C-01513469,E51EEE9A-1DEC-40DC-8263-440EBF8D95BA,107,FLO
A-S00201710,2020-12-18,SKU-00000092,Storefront,Storefront | NC-North Carolina | Reception Venues,C-01513472,8FA50C0A-0433-4D95-90CC-4A777FCAD292,107,REC
A-S00201711,2020-12-13,SKU-00000092,Storefront,Storefront | NC-North Carolina | Wedding Photographers,C-01513473,CF64565F-2733-4732-A490-B92E6B7E92E7,107,WPH
A-S00201712,2020-12-13,SKU-00000092,Storefront,Storefront | NC-North Carolina | Videographers,C-01513474,FF0ACDD9-BDDC-E111-8CC6-78E3B5102E43,107,VID
A-S00201713,2020-12-13,SKU-00000092,Storefront,Storefront | MA-Boston | Reception Venues,C-01513475,B58AA186-3606-E511-8C67-0050568849EA,061,REC
A-S00201716,2020-12-12,SKU-00000092,Storefront,Storefront | WI-Wisconsin | Reception Venues,C-01513484,0F191388-F05D-46F9-8480-F24B7B37244A,175,REC
A-S00201717,2020-12-12,SKU-00000034,Featured Vendor,Featured Vendor | IN-Indiana | Wedding Bands,C-01513486,9E9A8BC2-B283-479B-ADBF-7E5D4740F027,198,BDS
A-S00201717,2020-12-12,SKU-00000092,Storefront,Storefront | IN-Indiana | Wedding Bands,C-01513485,9E9A8BC2-B283-479B-ADBF-7E5D4740F027,198,BDS
A-S00201720,2020-12-14,SKU-00000086,Preferred Position,Preferred Position | WI-Wisconsin | Reception Venues,C-01513497,A9086E1F-AA93-E511-B212-005056881833,175,REC
A-S00201720,2020-12-14,SKU-00000092,Storefront,Storefront | WI-Wisconsin | Reception Venues,C-01513496,A9086E1F-AA93-E511-B212-005056881833,175,REC
A-S00201721,2020-12-14,SKU-00000034,Featured Vendor,Featured Vendor | IL-Chicago Suburbs | Photo Booths,C-01513498,6D320F02-25DC-E111-8CC6-78E3B5102E43,179,PHB
A-S00201721,2020-12-14,SKU-00000092,Storefront,Storefront | IL-Chicago Suburbs | Photo Booths,C-01513499,6D320F02-25DC-E111-8CC6-78E3B5102E43,179,PHB
A-S00201722,2020-12-14,SKU-00000092,Storefront,Storefront | IN-Indiana | Reception Venues,C-01513500,A0EA084E-E2DC-4B8F-8F9A-5FD4C13BD286,198,REC
A-S00201726,2020-12-20,SKU-00000034,Featured Vendor,Featured Vendor | IL-Chicago | Ensembles+Soloists,C-01513509,7A28FEA5-2C21-4EDC-8E5C-884EA9A985C2,045,ENS
A-S00201726,2020-12-20,SKU-00000034,Featured Vendor,Featured Vendor | IL-Chicago Suburbs | Ensembles+Soloists,C-01513510,7A28FEA5-2C21-4EDC-8E5C-884EA9A985C2,179,ENS
A-S00201726,2020-12-20,SKU-00000092,Storefront,Storefront | IL-Chicago | Ensembles+Soloists,C-01513507,7A28FEA5-2C21-4EDC-8E5C-884EA9A985C2,045,ENS
A-S00201726,2020-12-20,SKU-00000092,Storefront,Storefront | IL-Chicago Suburbs | Ensembles+Soloists,C-01513508,7A28FEA5-2C21-4EDC-8E5C-884EA9A985C2,179,ENS
A-S00201728,2020-12-19,SKU-00000086,Preferred Position,Preferred Position | IL-Chicago | Shower+Party Venues,C-01513515,5BD3AF19-70DB-E111-8BEC-78E3B50834E7,045,SPV
A-S00201728,2020-12-19,SKU-00000092,Storefront,Storefront | IL-Chicago | Reception Venues,C-01513513,5BD3AF19-70DB-E111-8BEC-78E3B50834E7,045,REC
A-S00201728,2020-12-19,SKU-00000092,Storefront,Storefront | IL-Chicago | Shower+Party Venues,C-01513514,5BD3AF19-70DB-E111-8BEC-78E3B50834E7,045,SPV
A-S00201729,2020-12-18,SKU-00000088,Premium Featured Vendor,Premium Featured Vendor | VA-Virginia | Beauty,C-01513517,7214501C-048C-491C-901A-7B031B07E4DE,192,BEA
A-S00201729,2020-12-18,SKU-00000092,Storefront,Storefront | VA-Virginia | Beauty,C-01513516,7214501C-048C-491C-901A-7B031B07E4DE,192,BEA
A-S00201735,2020-12-20,SKU-00000034,Featured Vendor,Featured Vendor | KY-Kentucky | Beauty,C-01513528,82DAD2E5-B66F-40B9-9B83-4D14FC5AAD50,040,BEA
A-S00201735,2020-12-20,SKU-00000092,Storefront,Storefront | KY-Kentucky | Beauty,C-01513527,82DAD2E5-B66F-40B9-9B83-4D14FC5AAD50,040,BEA
A-S00201736,2020-12-19,SKU-00000088,Premium Featured Vendor,Premium Featured Vendor | FL-South | Beauty,C-01513530,58BD7AE0-1109-4434-8CB5-4A844E354C2D,065,BEA
A-S00201736,2020-12-19,SKU-00000092,Storefront,Storefront | FL-South | Beauty,C-01513529,58BD7AE0-1109-4434-8CB5-4A844E354C2D,065,BEA
A-S00201738,2020-12-11,SKU-00000088,Premium Featured Vendor,Premium Featured Vendor | AZ-Phoenix | DJs,C-01513534,32147FE7-09B9-E311-B6B3-005056881833,177,DJS
A-S00201738,2020-12-11,SKU-00000092,Storefront,Storefront | AZ-Phoenix | DJs,C-01513533,32147FE7-09B9-E311-B6B3-005056881833,177,DJS
A-S00201739,2020-12-15,SKU-00000034,Featured Vendor,Featured Vendor | GA-Georgia | Beauty,C-01513536,9D347071-E60B-4024-BF7C-E17441532281,019,BEA
A-S00201739,2020-12-15,SKU-00000092,Storefront,Storefront | GA-Georgia | Beauty,C-01513535,9D347071-E60B-4024-BF7C-E17441532281,019,BEA
A-S00201741,2020-12-16,SKU-00000092,Storefront,Storefront | TX-San Antonio | Reception Venues,C-01513538,3BF2C896-1299-E511-995E-0050568849EA,180,REC
A-S00201743,2020-12-19,SKU-00000034,Featured Vendor,Featured Vendor | MA-Boston | DJs,C-01513543,B4AA30C5-B47C-E411-8C67-0050568849EA,061,DJS
A-S00201743,2020-12-19,SKU-00000092,Storefront,Storefront | MA-Boston | DJs,C-01513542,B4AA30C5-B47C-E411-8C67-0050568849EA,061,DJS
A-S00201750,2020-12-11,SKU-00000092,Storefront,Storefront | TX-Austin | Wedding Planners,C-01513551,879759EB-F004-4D41-88CD-767B06F8EDE0,191,PLN
A-S00201754,2020-12-20,SKU-00000034,Featured Vendor,Featured Vendor | IN-Indiana | Bar Services,C-01513563,6D150CDA-23DC-E111-8CC6-78E3B5102E43,198,BAR
A-S00201754,2020-12-20,SKU-00000034,Featured Vendor,Featured Vendor | IN-Indiana | Caterers,C-01548464,6D150CDA-23DC-E111-8CC6-78E3B5102E43,198,CAT
A-S00201754,2020-12-20,SKU-00000034,Featured Vendor,Featured Vendor | IN-Indiana | Reception Venues,C-01513558,6D150CDA-23DC-E111-8CC6-78E3B5102E43,198,REC
A-S00201754,2020-12-20,SKU-00000092,Storefront,Storefront | IN-Indiana | Bar Services,C-01513562,6D150CDA-23DC-E111-8CC6-78E3B5102E43,198,BAR
A-S00201754,2020-12-20,SKU-00000092,Storefront,Storefront | IN-Indiana | Caterers,C-01513559,6D150CDA-23DC-E111-8CC6-78E3B5102E43,198,CAT
A-S00201754,2020-12-20,SKU-00000092,Storefront,Storefront | IN-Indiana | Reception Venues,C-01513557,6D150CDA-23DC-E111-8CC6-78E3B5102E43,198,REC
A-S00201755,2020-12-18,SKU-00000034,Featured Vendor,Featured Vendor | IL-Chicago | Reception Venues,C-01513564,9DCB4745-71DB-E111-8BEC-78E3B50834E7,045,REC
A-S00201755,2020-12-18,SKU-00000092,Storefront,Storefront | IL-Chicago | Reception Venues,C-01513565,9DCB4745-71DB-E111-8BEC-78E3B50834E7,045,REC
A-S00201756,2020-12-14,SKU-00000034,Featured Vendor,Featured Vendor | GA-Georgia | Beauty,C-01513567,7E014B50-CDDC-E111-8CC6-78E3B5102E43,019,BEA
A-S00201756,2020-12-14,SKU-00000092,Storefront,Storefront | GA-Georgia | Beauty,C-01513566,7E014B50-CDDC-E111-8CC6-78E3B5102E43,019,BEA
A-S00201757,2020-12-15,SKU-00000092,Storefront,Storefront | NY-Long Island | Wedding Planners,C-01513568,3E060A51-401A-4455-9589-9FBEE429B4A8,182,PLN
A-S00201758,2020-12-14,SKU-00000034,Featured Vendor,Featured Vendor | MI-Grand Rpds/Northern | Wedding Planners,C-01513570,3A2293FD-04C6-4686-8BBA-FBD06964B925,186,PLN
A-S00201758,2020-12-14,SKU-00000092,Storefront,Storefront | MI-Grand Rpds/Northern | Wedding Planners,C-01513571,3A2293FD-04C6-4686-8BBA-FBD06964B925,186,PLN
A-S00201759,2020-12-13,SKU-00000092,Storefront,Storefront | MI-Detroit | Caterers,C-01513572,F7B0386E-AF39-E211-810D-0050568849EA,044,CAT
A-S00201761,2020-12-12,SKU-00000092,Storefront,Storefront | NY-Manhattan | Wedding Photographers,C-01513576,5CDB908E-A6E8-443C-91CC-D3746D5AF016,091,WPH
A-S00201762,2020-12-14,SKU-00000086,Preferred Position,Preferred Position | IL-Chicago | Wedding Photographers,C-01513577,1963C8B9-9ABD-4F29-9923-BD630CC8244E,045,WPH
A-S00201762,2020-12-14,SKU-00000092,Storefront,Storefront | IL-Chicago | Wedding Photographers,C-01513578,1963C8B9-9ABD-4F29-9923-BD630CC8244E,045,WPH
A-S00201763,2020-12-14,SKU-00000088,Premium Featured Vendor,Premium Featured Vendor | NY-Long Island | Florists,C-01513580,8C2F9F39-8597-E511-995E-0050568849EA,182,FLO
A-S00201763,2020-12-14,SKU-00000092,Storefront,Storefront | NY-Long Island | Florists,C-01513579,8C2F9F39-8597-E511-995E-0050568849EA,182,FLO
A-S00201764,2020-12-15,SKU-00000034,Featured Vendor,Featured Vendor | MI-Detroit | Transportation,C-01513582,E018A5CC-6E4E-46DA-8F2E-C7B659359F67,044,TRA
A-S00201764,2020-12-15,SKU-00000092,Storefront,Storefront | MI-Detroit | Transportation,C-01513581,E018A5CC-6E4E-46DA-8F2E-C7B659359F67,044,TRA
A-S00201766,2020-12-18,SKU-00000034,Featured Vendor,Featured Vendor | IN-Indiana | DJs,C-01513586,E2D15EC9-FEAE-4588-B5B4-B27606386DB7,198,DJS
A-S00201766,2020-12-18,SKU-00000092,Storefront,Storefront | IN-Indiana | DJs,C-01513585,E2D15EC9-FEAE-4588-B5B4-B27606386DB7,198,DJS
A-S00201769,2020-12-14,SKU-00000034,Featured Vendor,Featured Vendor | IL-Chicago | Reception Venues,C-01513592,381899A0-5CDB-4FAE-A501-1A129B40E8B9,045,REC
A-S00201769,2020-12-14,SKU-00000092,Storefront,Storefront | IL-Chicago | Reception Venues,C-01513591,381899A0-5CDB-4FAE-A501-1A129B40E8B9,045,REC
A-S00201770,2020-12-12,SKU-00000092,Storefront,Storefront | TN-Tennessee | Wedding Planners,C-01513593,825EA1A2-573E-49C4-AD6C-065B558F6B77,190,PLN
A-S00201771,2020-12-15,SKU-00000092,Storefront,Storefront | OH-Cleveland/NE Ohio | Wedding Bands,C-01513594,2A9561D2-1109-4172-9FE6-B6FB62ACD12C,052,BDS
A-S00201771,2020-12-15,SKU-00000092,Storefront,Storefront | MI-Detroit | Wedding Bands,C-01513595,A00C676F-4493-43A2-9B81-1DBAFBB95AE8,044,BDS
A-S00201774,2020-12-05,SKU-00000034,Featured Vendor,Featured Vendor | AR-Arkansas | Reception Venues,C-01513602,7294EFA9-D0C1-4379-B248-A0653F229FD9,257,REC
A-S00201774,2020-12-05,SKU-00000092,Storefront,Storefront | AR-Arkansas | Reception Venues,C-01513601,7294EFA9-D0C1-4379-B248-A0653F229FD9,257,REC
A-S00201775,2020-12-14,SKU-00000034,Featured Vendor,Featured Vendor | LA-All Other Areas | Beauty,C-01513604,19FAF0FB-6590-4B5C-82EA-863CE1341FDC,024,BEA
A-S00201775,2020-12-14,SKU-00000034,Featured Vendor,Featured Vendor | LA-New Orleans | Beauty,C-01513606,19FAF0FB-6590-4B5C-82EA-863CE1341FDC,029,BEA
A-S00201775,2020-12-14,SKU-00000092,Storefront,Storefront | LA-All Other Areas | Beauty,C-01513603,19FAF0FB-6590-4B5C-82EA-863CE1341FDC,024,BEA
A-S00201775,2020-12-14,SKU-00000092,Storefront,Storefront | LA-New Orleans | Beauty,C-01513605,19FAF0FB-6590-4B5C-82EA-863CE1341FDC,029,BEA
A-S00201778,2020-12-11,SKU-00000034,Featured Vendor,Featured Vendor | MI-Grand Rpds/Northern | Reception Venues,C-01513612,5483BC38-C4DC-E111-8CC6-78E3B5102E43,186,REC
A-S00201778,2020-12-11,SKU-00000092,Storefront,Storefront | MI-Grand Rpds/Northern | Reception Venues,C-01513611,5483BC38-C4DC-E111-8CC6-78E3B5102E43,186,REC
A-S00201779,2020-12-14,SKU-00000034,Featured Vendor,Featured Vendor | NY-Long Island | Wedding Planners,C-01513616,B6271BB5-0539-E211-810D-0050568849EA,182,PLN
A-S00201779,2020-12-14,SKU-00000034,Featured Vendor,Featured Vendor | NY-Manhattan | Wedding Planners,C-01513613,B6271BB5-0539-E211-810D-0050568849EA,091,PLN
A-S00201779,2020-12-14,SKU-00000092,Storefront,Storefront | NY-Long Island | Wedding Planners,C-01513615,B6271BB5-0539-E211-810D-0050568849EA,182,PLN
A-S00201779,2020-12-14,SKU-00000092,Storefront,Storefront | NY-Manhattan | Wedding Planners,C-01513614,B6271BB5-0539-E211-810D-0050568849EA,091,PLN
A-S00201781,2020-12-12,SKU-00000034,Featured Vendor,Featured Vendor | MI-Grand Rpds/Northern | Reception Venues,C-01513620,889141A1-4F04-4958-B19C-42B350F531D8,186,REC
A-S00201781,2020-12-12,SKU-00000092,Storefront,Storefront | MI-Grand Rpds/Northern | Reception Venues,C-01513619,889141A1-4F04-4958-B19C-42B350F531D8,186,REC
A-S00201782,2020-12-14,SKU-00000092,Storefront,Storefront | IL-Chicago | Wedding Cakes,C-01513621,53B76156-2124-E211-B682-78E3B5102EA7,045,WCK
A-S00201786,2020-12-17,SKU-00000034,Featured Vendor,Featured Vendor | MA-Boston | DJs,C-01513632,42C1D46F-2DC0-4C98-A9B0-666553204D09,061,DJS
A-S00201786,2020-12-17,SKU-00000092,Storefront,Storefront | MA-Boston | DJs,C-01513631,42C1D46F-2DC0-4C98-A9B0-666553204D09,061,DJS
