Account Owner,WW Vendor Id,Account Name,TKWW Paid Classification,TK Listing Visibility,WW Listing Visibility,Closest Product End Date,URL,LocationID,TK Company ID,AccountID
Mark Pittman,992560,East Hill Creamery,2,Paid,Paid,3/18/2020,https://my.matterport.com/show/?m=o2VFV6R2ZHP&brand=0,165bf91a-2c28-483c-bdac-3ae4c613f506,165bf91a-2c28-483c-bdac-3ae4c613f506,642c81ba-84b8-486c-b37e-a83b011b88c6
Patrick Clark,607692,La Maison du Lac,2,Paid,Paid,3/18/2020,https://my.matterport.com/show/?m=ecLQu3URoZ8&brand=0,1e2420e9-562e-4a8b-8b2c-593baa11ccc1,7f988f7d-79db-e111-8bec-78e3b50834e7,0cb78929-3952-4804-864b-1733130be320
Sara Burroughs,970619,La Ventura Event Center,2,Paid,Paid,3/18/2020,https://my.matterport.com/show/?m=mCMJn7dce7r&brand=0,412a7a7f-2ebc-4dcb-bfb3-a0dfca94270a,412a7a7f-2ebc-4dcb-bfb3-a0dfca94270a,821ec07b-d3b8-45ab-8a1c-a7140108bb9c
Karrie Ploss,9109,Tangier Banquet & Event center,2,Paid,Paid,3/19/2020,https://my.matterport.com/show/?m=xCATmPETBFz&brand=0,16dd8659-67db-e111-8bec-78e3b50834e7,16dd8659-67db-e111-8bec-78e3b50834e7,4b0f8700-ee90-4026-9b99-5a1098a3256e
Cecelia Wicklin,490335,Westin Chicago Northwest,2,Paid,Paid,3/19/2020,https://my.matterport.com/show/?m=4QAvFxFsbV9&brand=0,1938a869-4ddc-e111-8bec-78e3b50834e7,1938a869-4ddc-e111-8bec-78e3b50834e7,e00e3a05-019a-4d3a-914c-edf3d7e082e4
George Proctor,910003,Schneider Hall,2,Paid,Paid,3/19/2020,https://my.matterport.com/show/?m=uHAvEwrxUkw&brand=0,794f994d-8c1b-4f3b-89ab-0d3b32c54926,794f994d-8c1b-4f3b-89ab-0d3b32c54926,e8889f7a-8ff3-4df2-9ddf-a6c100a5fb60
Kimberley Feys,681889,The Lodge at Country Inn Cottages,2,Paid,Paid,3/19/2020,https://my.matterport.com/show/?m=kErwDqyege9&brand=0,bf3309fc-9c5b-e311-9ca4-0050568849ea,bf3309fc-9c5b-e311-9ca4-0050568849ea,42cdbb52-7108-4a5e-b233-dae11f6de862
Lisa Hamilton,744397,Villa de l'Amour,2,Paid,Paid,3/20/2020,https://my.matterport.com/show/?m=D24BcDcqumu&brand=0,5e14c1f4-672d-e411-9c4e-0050568849ea,5e14c1f4-672d-e411-9c4e-0050568849ea,c9f903d7-9b49-4265-b5ba-a38d00f63299
David Quatresols,316477,Rumbling Bald Resort,2,Paid,Paid,3/20/2020,https://my.matterport.com/show/?m=KNjT5b6vrLt&brand=0,757439df-51db-e111-8bec-78e3b50834e7,757439df-51db-e111-8bec-78e3b50834e7,c0b5e4a3-7cbe-4780-b3a7-9d47191a95ba
Karrie Ploss,360235,The Ballroom at J Liu of Worthington,2,Paid,Paid,3/20/2020,https://my.matterport.com/show/?m=4HrJE3X5pMW&brand=0,94e836ec-76db-e111-8bec-78e3b50834e7,94e836ec-76db-e111-8bec-78e3b50834e7,fedc5938-2a4c-4e08-ae75-d69ab43a348e
